id;quantity;total_price;product_id;cart_id
1;2328;21153.92;1;1
2;7436;26285.49;2;2
3;31828;11372.26;3;3
4;31121;5593.49;4;4
5;5828;23305.27;5;5
6;25191;6475.55;6;6
7;6682;9786.6;7;7
8;21420;12370.85;8;8
9;17479;32331.99;9;9
10;16104;26203.95;10;10
11;4032;21266.89;11;11
12;3597;25775.97;12;12
13;209;27063.3;13;13
14;22825;21332.65;14;14
15;26404;23028.83;15;15
16;23865;29775.07;16;16
17;31748;18921.15;17;17
18;27915;6519.75;18;18
19;17743;28181.87;19;19
20;24201;10491.74;20;20
21;13386;26636.43;21;21
22;31456;31313.15;22;22
23;3131;6528.54;23;23
24;25185;17284.3;24;24
25;2823;8566.93;25;25
26;5935;2213.31;26;26
27;4681;18553.3;27;27
28;26733;31500.27;28;28
29;19764;7417.87;29;29
30;1304;28377.52;30;30
