id;name;description;price;stock
1;Producto E2E;Producto determinista para pruebas end-to-end;19.99;25
2;on how;vaguely what pace;8822.98;3234
3;coagulate mild valiantly;past;22642.54;28603
4;whether amongst aha;shameful utterly;3626.75;14895
5;reel forenenst;psst;13705.42;15086
6;commonly spear unhappy;excess;11845.11;1247
7;sharply following;weekly premier;12105.21;15164
8;before but hmph;aside whoa;27963.56;8818
9;ouch;uh-huh;414.11;14243
10;mathematics ack even;merry;17211.22;15197
11;kiddingly nor grandiose;fooey behold upbeat;30090.53;9770
12;uh-huh papa function;untried loosely lamp;1604.07;29700
13;wise nearly;rudely what;21006.13;25786
14;elliptical license mountain;tempting;16190.55;30558
15;sweetly expostulate for;last midwife;5544.49;31413
16;hastily boo wearily;pish;1452.58;19017
17;via ick;government;25770.41;23058
18;how whoever;whoever whose;7697.56;19807
19;whose milky that;victoriously zowie next;29935.22;8234
20;consequently ha;candid drat drat;4510.77;5470
21;wonderful;rigidly;25615.34;9741
22;rag inasmuch circa;denitrify obsess;4509.1;6700
23;uh-huh memorise once;except jovially biodegrade;2351.7;5139
24;greedily among;lampoon vaguely;16782.46;15636
25;shyly demonstrate midst;in eek;9142.35;6344
26;lest jaywalk instantly;until rag;15251.35;17061
27;after boohoo thoroughly;incidentally dark;1425.29;20476
28;productive how across;obvious now unnecessarily;31858.26;2603
29;whine;grim;24885.89;10011
30;scornful whoever;exacerbate unbearably geez;23071.78;25084
